timestamp_kst,site,siteType,axisNm,axisDirDivCd,axisDirDivNm,stNodeNm,edNodeNm,speed,trfClsNm
2026-08-05 23:55,은행사거리,양성대조,중계로,2,하행,은행사거리,청암고교,12,정체
2026-08-05 23:55,목동역,양성대조,오목로,1,상행,목동산돌교회,목동역,23,서행
2026-08-05 23:55,목동역,양성대조,오목로,1,상행,목동역,양강중교앞,23,서행
2026-08-05 23:55,목동역,양성대조,오목로,2,하행,양강중교앞,목동역,24,서행
2026-08-05 23:55,목동역,양성대조,오목로,2,하행,목동역,목동산돌교회,41,원활
2026-08-05 23:55,응암오거리,음성대조,응암로,1,상행,대림시장,응암오거리,17,서행
2026-08-05 23:55,응암오거리,음성대조,응암로,1,상행,응암오거리,응암시장,28,원활
2026-08-05 23:55,응암오거리,음성대조,응암로,2,하행,응암시장,응암오거리,23,서행
2026-08-05 23:55,응암오거리,음성대조,응암로,2,하행,응암오거리,대림시장,19,서행
2026-08-05 23:55,선릉역,음성대조,테헤란로,1,상행,포스코사거리,선릉역,27,원활
2026-08-05 23:55,선릉역,음성대조,테헤란로,1,상행,선릉역,센터필드,21,서행
2026-08-05 23:55,선릉역,음성대조,테헤란로,2,하행,센터필드,선릉역,31,원활
2026-08-05 23:55,선릉역,음성대조,테헤란로,2,하행,선릉역,포스코사거리,21,서행
2026-08-06 00:14,은마아파트입구,대상,도곡로,1,상행,한티역,은마아파트입구,24,서행
2026-08-06 00:14,은마아파트입구,대상,도곡로,1,상행,은마아파트입구,대치동우성아파트,22,서행
2026-08-06 00:14,은마아파트입구,대상,도곡로,2,하행,대치동우성아파트,은마아파트입구,23,서행
2026-08-06 00:14,은마아파트입구,대상,도곡로,2,하행,은마아파트입구,한티역,27,원활
2026-08-06 00:14,은마아파트입구,대상,삼성로,1,상행,대치사거리,은마아파트입구,19,서행
2026-08-06 00:14,은마아파트입구,대상,삼성로,1,상행,은마아파트입구,대치역,18,서행
2026-08-06 00:14,은마아파트입구,대상,삼성로,2,하행,대치역,은마아파트입구,23,서행
2026-08-06 00:14,은마아파트입구,대상,삼성로,2,하행,은마아파트입구,대치사거리,29,원활
2026-08-06 00:14,은행사거리,양성대조,한글비석로,1,상행,양지근린공원,은행사거리,30,원활
2026-08-06 00:14,은행사거리,양성대조,한글비석로,1,상행,은행사거리,중계주공4ㆍ5단지,20,서행
2026-08-06 00:14,은행사거리,양성대조,한글비석로,2,하행,중계주공4ㆍ5단지,은행사거리,29,원활
2026-08-06 00:14,은행사거리,양성대조,한글비석로,2,하행,은행사거리,양지근린공원,20,서행
2026-08-06 00:14,은행사거리,양성대조,중계로,1,상행,청암고교,은행사거리,20,서행
2026-08-06 00:14,은행사거리,양성대조,중계로,1,상행,은행사거리,불암초교,15,정체
